X,Y,FID,Kode_Provi,Provinsi,Kasus_Posi,Kasus_Semb,Kasus_Meni
96.9095227480001,4.22508189200005,1,11,Aceh,9946,8119,399
99.0578878490001,2.18477921500005,2,12,Sumatera Utara,27772,24472,924
100.46680503,-0.85191434799998,3,13,Sumatera Barat,32098,30119,690
101.812891954,0.510525849000032,4,14,Riau,35270,32927,865
103.59932,-1.61774999999994,5,15,Jambi,6361,5096,95
104.170419445,-3.21334682199995,6,16,Sumatera Selatan,17974,15679,854
102.26312,-3.79115999999993,7,17,Bengkulu,5497,5072,157
105.986948082,-2.25295641099996,8,19,Bangka Belitung,9593,8649,158
105.018313051,-4.91807308699993,9,18,Lampung,14178,12875,768
108.202228889,3.91594724100003,10,21,Kepulauan Riau,9304,8779,230
106.82649,-6.17147999999997,11,31,DKI Jakarta,385730,372463,6359
107.602807898,-6.91998021599994,12,32,Jawa Barat,252207,224102,3240
110.201112529,-7.25897038299996,13,33,Jawa Tengah,169993,127735,7300
110.445366971,-7.89501381499997,14,34,Daerah Istimewa Yogyakarta,34020,28182,824
112.733678801,-7.72011301899994,15,35,Jawa Timur,140331,128386,9992
106.109197069,-6.45618159899993,16,36,Banten,40424,35759,828
115.131650995,-8.36974326099994,17,51,Bali,40166,37473,1154
117.506862452,-8.60665208399996,18,52,Nusa Tenggara Barat,9647,7572,360
121.14182917,-8.60484333199997,19,53,Nusa Tenggara Timur,12610,10481,345
111.120762401,-0.085901233999948,20,61,Kalimantan Barat,6043,5455,33
113.181047852,-1.63434004499993,21,62,Kalimantan Tengah,17497,14283,395
115.311307834,-2.44977913699995,22,63,Kalimantan Selatan,28581,24657,847
116.470858393,0.461046227000054,23,64,Kalimantan Timur,64253,59609,1516
116.216718309,2.88882096100002,24,65,Kalimantan Utara,11232,9511,175
124.53537885,1.28609768700005,25,71,Sulawesi Utara,15386,12489,501
120.4495925,-1.45921495399995,26,72,Sulawesi Tengah,11285,10228,299
120.161157704,-3.74711571199992,27,73,Sulawesi Selatan,59786,57942,910
122.078678056,-4.13280397099993,28,74,Sulawesi Tenggara,10275,9635,205
123.06184,0.53707,29,75,Gorontalo,5191,4843,147
119.343471383,-2.46190201499996,30,76,Sulawesi Barat,5370,5127,113
129.360425,-3.12611934299997,31,81,Maluku,7373,6859,110
128.015929442,0.869337001000019,32,82,Maluku Utara,4331,3666,120
140.0,-4.99999999999994,33,94,Papua,19675,10413,203
132.968341712,-2.04172328199996,34,91,Papua Barat,8377,7813,134
113.915865,-0.989818181999965,35,0,Indonesia,0,0,0
